ID,Plate,Treatment,Line,Symbiosis,Well,Temp,Lacerate,Day,Day_cat,Tent_count
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,11,11_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,14,14_day,x
H2-Ino-25-A3-1,3,H2-Ino-25,H2,Ino,A3,25C (ambient),1,21,21_day,x
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,0,0_day,0
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,3,3_day,0
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,4,4_day,0
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,5,5_day,4
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,7,7_day,9
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,10,10_day,10
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,11,11_day,10
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,14,14_day,11
H2-Ino-25-A4-1,3,H2-Ino-25,H2,Ino,A4,25C (ambient),1,21,21_day,12
H2-Ino-25-B1-1,3,H2-Ino-25,H2,Ino,B1,25C (ambient),1,0,0_day,0
H2-Ino-25-B1-1,3,H2-Ino-25,H2,Ino,B1,25C (ambient),1,3,3_day,0
