date,week,observer,parent_id,pedal_disc_diameter_mm,pedal_disc_area_mm2,image_id,FvFm,health_note,genotype,temp,parent_id,tub_id
2026-02-25,W3,Grady,P1_VWA_25_Tub3,9.586,, IMG_0014,0.822,healthy,VWA,25,P1_VWA_25_Tub3,VWA_25_Tub3
2026-02-25,W3,Grady,P2_VWA_25_Tub3,6.138,, IMG_0015,0.609,healthy,VWA,25,P2_VWA_25_Tub3,VWA_25_Tub3
2026-02-25,W3,Grady,P3_VWA_25_Tub3,5.975,, IMG_0016,0.66,healthy,VWA,25,P3_VWA_25_Tub3,VWA_25_Tub3
2026-02-25,W3,Grady,P1_H2_32_Tub1,7.487,, IMG_0017,0.654,healthy,H2,32,P1_H2_32_Tub1,H2_32_Tub1
2026-02-25,W3,Grady,P2_H2_32_Tub1,7.501,, IMG_0018,0.673,healthy,H2,32,P2_H2_32_Tub1,H2_32_Tub1
2026-02-25,W3,Grady,P3_H2_32_Tub1,7.748,, IMG_0018,0.839,healthy,H2,32,P3_H2_32_Tub1,H2_32_Tub1
2026-02-25,W3,Grady,P1_H2_32_Tub2,7.427,, IMG_0019,0.78,healthy,H2,32,P1_H2_32_Tub2,H2_32_Tub2
2026-02-25,W3,Grady,P2_H2_32_Tub2,7.426,, IMG_0020,0.569,healthy,H2,32,P2_H2_32_Tub2,H2_32_Tub2
2026-02-25,W3,Grady,P3_H2_32_Tub2,7.928,, IMG_0021,0.757,healthy,H2,32,P3_H2_32_Tub2,H2_32_Tub2
2026-02-25,W3,Grady,P1_H2_32_Tub3,7.181,, IMG_0022,0.619,healthy,H2,32,P1_H2_32_Tub3,H2_32_Tub3
2026-02-25,W3,Grady,P2_H2_32_Tub3,8.312,, IMG_0023,0.821,healthy,H2,32,P2_H2_32_Tub3,H2_32_Tub3
2026-02-25,W3,Grady,P3_H2_32_Tub3,6.873,, IMG_0024,0.729,healthy,H2,32,P3_H2_32_Tub3,H2_32_Tub3
2026-02-25,W3,Grady,P1_VWA_32_Tub1,6.138,, IMG_0025,0.147,healthy,VWA,32,P1_VWA_32_Tub1,VWA_32_Tub1
2026-02-25,W3,Grady,P2_VWA_32_Tub1,7.229,, IMG_0026,0.398,healthy,VWA,32,P2_VWA_32_Tub1,VWA_32_Tub1
2026-02-25,W3,Grady,P3_VWA_32_Tub1,5.882,,IMG_0025,0.137,healthy,VWA,32,P3_VWA_32_Tub1,VWA_32_Tub1
