,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
4,0.411,SH_2dpl_sample2_MAX_C1.tif,SH_2dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.004,0.891,Caspase,Sym_HS,2dpl,
5,0.561,SH_2dpl_sample3_MAX_C1.tif,SH_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
6,0.561,SH_2dpl_sample3_MAX_C1.tif,SH_2dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.05,8.905,EdU,Sym_HS,2dpl,
7,0.561,SH_2dpl_sample3_MAX_C1.tif,SH_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
8,0.561,SH_2dpl_sample3_MAX_C1.tif,SH_2dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.016,2.763,Caspase,Sym_HS,2dpl,
9,0.338,SH_2dpl_sample4_MAX_C1.tif,SH_2dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
10,0.338,SH_2dpl_sample4_MAX_C1.tif,SH_2dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.017,5.125,EdU,Sym_HS,2dpl,
11,0.338,SH_2dpl_sample4_MAX_C1.tif,SH_2dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
12,0.338,SH_2dpl_sample4_MAX_C1.tif,SH_2dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.007,2.109,Caspase,Sym_HS,2dpl,
13,0.531,SH_2dpl_sample5_MAX_C1.tif,SH_2dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
14,0.531,SH_2dpl_sample5_MAX_C1.tif,SH_2dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.009,1.701,EdU,Sym_HS,2dpl,
15,0.531,SH_2dpl_sample5_MAX_C1.tif,SH_2dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
16,0.531,SH_2dpl_sample5_MAX_C1.tif,SH_2dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.037,6.936,Caspase,Sym_HS,2dpl,
17,0.338,SH_2dpl_sample6_MAX_C1.tif,SH_2dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
18,0.338,SH_2dpl_sample6_MAX_C1.tif,SH_2dpl_sample6_MAX_C4.tif,Second,Threshold Area,0.006,1.689,EdU,Sym_HS,2dpl,
19,0.338,SH_2dpl_sample6_MAX_C1.tif,SH_2dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,2dpl,
20,0.338,SH_2dpl_sample6_MAX_C1.tif,SH_2dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.006,1.831,Caspase,Sym_HS,2dpl,
21,0.425,SH_5dpl_sample1_MAX_C1.tif,SH_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
22,0.425,SH_5dpl_sample1_MAX_C1.tif,SH_5dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.018,4.345,EdU,Sym_HS,5dpl,
23,0.425,SH_5dpl_sample1_MAX_C1.tif,SH_5dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
24,0.425,SH_5dpl_sample1_MAX_C1.tif,SH_5dpl_sample1_MAX_C3.tif,Second,Threshold Area,3.57E-04,0.084,Caspase,Sym_HS,5dpl,
25,0.04,SH_5dpl_sample1_tent_MAX_C1.tif,SH_5dpl_sample1_tent_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,Tentacle_high
26,0.04,SH_5dpl_sample1_tent_MAX_C1.tif,SH_5dpl_sample1_tent_MAX_C4.tif,Second,Threshold Area,0.006,15.326,EdU,Sym_HS,5dpl,Tentacle_high
27,0.04,SH_5dpl_sample1_tent_MAX_C1.tif,SH_5dpl_sample1_tent_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,Tentacle_high
28,0.04,SH_5dpl_sample1_tent_MAX_C1.tif,SH_5dpl_sample1_tent_MAX_C3.tif,Second,Threshold Area,0.001,2.958,Caspase,Sym_HS,5dpl,Tentacle_high
1,0.258,SH_5dpl_sample2_MAX_C1.tif,SH_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
