,Label,Area,Mean,Min,Max,MinThr,MaxThr,Type,%,Region,notes,,plate,well,sym,temp,treatment,day,calculation
51,Snap-425.czi,15043.206,956.862,457,3406,0,65535,Tentacle Area,0,Pedal disc,,,7,B5,inoc,25C,inoc-25C,10,0
52,Snap-424.czi,720.029,2146.838,1174,3714,1174,65535,Symbiont Area,4.786,Pedal disc,,,7,B5,inoc,25C,inoc-25C,10,4.786406568
53,Snap-427.czi,23009.367,1466.38,477,3851,0,65535,Tentacle Area,0,Tentacle,,,7,B5,inoc,25C,inoc-25C,10,0
54,Snap-426.czi,3081.206,1693.007,965,3999,965,65535,Symbiont Area,13.391,Tentacle,,,7,B5,inoc,25C,inoc-25C,10,13.39109416
55,Snap-429.czi,24730.518,927.694,281,1957,0,65535,Tentacle Area,0,Tentacle,,,7,B6,inoc,25C,inoc-25C,10,0
56,Snap-428.czi,7064.287,1622.588,954,3618,954,65535,Symbiont Area,28.565,Tentacle,,,7,B6,inoc,25C,inoc-25C,10,28.56505877
57,Snap-432.czi,26668.543,774.838,285,1667,0,65535,Tentacle Area,0,Tentacle,,,7,B6,inoc,25C,inoc-25C,10,0
58,Snap-431.czi,7329.595,1564.261,937,3698,937,65535,Symbiont Area,27.484,Tentacle,,,7,B6,inoc,25C,inoc-25C,10,27.4840474
59,Snap-435.czi,27461.44,791.004,346,1754,0,65535,Tentacle Area,0,Tentacle,,,7,C1,inoc,25C,inoc-25C,10,0
60,Snap-434.czi,3699.826,1720.886,968,3952,968,65535,Symbiont Area,13.473,Tentacle,,,7,C1,inoc,25C,inoc-25C,10,13.47280405
61,Snap-437.czi,311524.871,142.96,6,4095,0,65535,Tentacle Area,0,Tentacle,,,7,C1,inoc,25C,inoc-25C,10,0
62,Snap-437.czi,2165.493,1868.22,1091,3994,1091,65535,Symbiont Area,0.695,Tentacle,,,7,C1,inoc,25C,inoc-25C,10,0.6951268427
63,Snap-441.czi,19592.796,744.062,286,2149,0,65535,Tentacle Area,0,Tentacle,,,7,C2,inoc,25C,inoc-25C,10,0
64,Snap-440.czi,268.768,2188.11,1095,3920,1095,65535,Symbiont Area,1.372,Tentacle,,,7,C2,inoc,25C,inoc-25C,10,1.371769501
65,Snap-445.czi,9228.699,572.928,235,1454,0,65535,Tentacle Area,0,Body column,,,7,C4,inoc,25C,inoc-25C,10,0
66,Snap-444.czi,1400.706,1979.452,1121,3971,1121,65535,Symbiont Area,15.178,Body column,,,7,C4,inoc,25C,inoc-25C,10,15.17771898
67,Snap-447.czi,27216.241,609.409,222,1444,0,65535,Tentacle Area,0,Tentacle,,,7,C5,inoc,25C,inoc-25C,10,0
68,Snap-446.czi,5503.359,1618.806,933,3734,933,65535,Symbiont Area,20.221,Tentacle,,,7,C5,inoc,25C,inoc-25C,10,20.22086371
69,Snap-450.czi,11689.34,829.255,368,1823,0,65535,Tentacle Area,0,Tentacle,,,7,C5,inoc,25C,inoc-25C,10,0
70,Snap-449.czi,3252.456,1874.205,1158,3752,1158,65535,Symbiont Area,27.824,Tentacle,,,7,C5,inoc,25C,inoc-25C,10,27.8241201
71,Snap-451.czi,7844.859,924.132,345,1620,0,65535,Tentacle Area,0,Tentacle,,,7,C5,inoc,25C,inoc-25C,10,0
72,Snap-448.czi,1340.163,2264.783,1572,3601,1572,65535,Symbiont Area,17.083,Tentacle,,,7,C5,inoc,25C,inoc-25C,10,17.08332808
73,Snap-457.czi,24138.062,928.264,357,3676,0,65535,Tentacle Area,7.704,Tentacle,,,7,D1,inoc,25C,inoc-25C,10,0
74,Snap-456.czi,4660.081,1848.844,1067,3761,1067,65535,Symbiont Area,19.306,Tentacle,,,7,D1,inoc,25C,inoc-25C,10,19.30594511
75,Snap-460.czi,23126.994,837.942,320,2203,0,65535,Tentacle Area,0,Tentacle,,,7,D1,inoc,25C,inoc-25C,10,0
76,Snap-458.czi,4377.908,1742.029,1001,3939,1001,65535,Symbiont Area,18.93,Tentacle,,,7,D1,inoc,25C,inoc-25C,10,18.92986179
77,Snap-461.czi,9004.258,987.237,416,1783,0,65535,Tentacle Area,0,Tentacle,,,7,D1,inoc,25C,inoc-25C,10,0
78,Snap-459.czi,2798.816,1734.797,1181,3741,1181,65535,Symbiont Area,31.083,Tentacle,,,7,D1,inoc,25C,inoc-25C,10,31.08324972
